Japanese,English
の,of
に,to
を,of
は,teeth
年,Year
が,but
た,Ta
で,in
て,hand
と,and
し,death
月,Month
日,Day
れ,Re
さ,difference
者,person
する,do
も,too
ます,Masu
利用,use
こと,thing
ある,be
いる,There is
な,Na
から,from
い,stomach
ない,do not have
ページ,page
第,No.
へ,fart
や,or
日本,Japan
として,as
です,is
か,mosquito
会話,conversation
削除,delete
この,this
市,city
県,prefecture
れる,be able to
あり,can be
ん,yeah
よう,Yo
ため,For
的,target
編集,edit
ください,please
人,Man
という,That's called
など,Such
依頼,request
なっ,What?
名,given name
版,edition
でき,Can be done
ませ,Let's not
リンク,Link
駅,station
記事,article
‐,-
について,about
う,cormorant
その,the
もの,thing
投稿,Post
ば,Ba
町,town
まし,Better
なる,Become
場合,case
あっ,Ah
ノート,Note
号,issue
方針,policy
回,times
さん,Mr. Miss.
まで,to
だ,is
中,During ~
ので,So
一,one
放送,broadcast
後,rear
おり,cage
人物,person
署名,signature
本,Book
において,in
家,House
られ,Rare
また,Also
選手,player
お,oh
活動,activity
東京,Tokyo
画像,image
会,Association
学校,school
映画,movie